id,field_legacy_id,blog_name,source_type,source_term,rename_term,ignore_term,person,movie,tv,book,music,stage,web_series,video_game,taxonomy_genre,taxonomy_ew_franchise,taxonomy_franchise,taxonomy_event,taxonomy_freeform,taxonomy_category
4189,popwatch_92345305,popwatch,tag,"EW's Best Comments","EW Video",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11528,insidetv_184258769,insidetv,tag,"EW.com Editor's Hour",,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4190,popwatch_22151419,popwatch,tag,"EW.com Video","EW Video",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38707,insidetv_263947,insidetv,tag,"Ewan McGregor",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4191,popwatch_263947,popwatch,tag,"Ewan McGregor",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40897,insidemovies_263947,insidemovies,tag,"Ewan McGregor",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4192,popwatch_22151319,popwatch,tag,EWWWWWWWWWW.com,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38708,insidetv_24941120,insidetv,tag,EWwys,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4193,popwatch_24941120,popwatch,tag,EWwys,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1525,shelflife_4410,shelflife,tag,Excerpt,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4194,popwatch_33773783,popwatch,tag,"Excess Hollywood",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9687,musicmix_1152441,musicmix,tag,Excision,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38709,insidetv_22376,insidetv,tag,Exclusive,"EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35641,popstyle_22376,popstyle,tag,Exclusive,"EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
417,thefamilyroom_22376,thefamilyroom,tag,Exclusive,"EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40898,insidemovies_22376,insidemovies,tag,Exclusive,"EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37320,musicmix_22376,musicmix,tag,Exclusive,"EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34792,popwatch_22376,popwatch,tag,Exclusive,"EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
418,thefamilyroom_5759462,thefamilyroom,tag,"Exclusive Excerpt","EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34454,shelflife_5759462,shelflife,tag,"Exclusive Excerpt!","EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4195,popwatch_23247845,popwatch,tag,"Exclusive First Look","EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34455,shelflife_22376,shelflife,tag,Exclusive!,"EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9688,musicmix_54365,musicmix,tag,Exclusives,"EW Exclusive",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34312,insidemovies_593830,insidemovies,tag,Exists,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13328,insidemovies_81464334,insidemovies,tag,"Exit 147",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38710,insidetv_1073520,insidetv,tag,"Exit Interview",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8102,popstyle_1073520,popstyle,tag,"Exit Interview",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9689,musicmix_4147598,musicmix,tag,"Exit Music (for a Film)",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9690,musicmix_3110761,musicmix,tag,"Exit Music: Songs with Radio Heads",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4196,popwatch_939817,popwatch,tag,"Exit Poll",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11529,insidetv_297212,insidetv,tag,"exit strategy",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4197,popwatch_30417281,popwatch,tag,"Exit Through the Gift Shop",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40899,insidemovies_30417281,insidemovies,tag,"Exit Through the Gift Shop",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13329,insidemovies_49067,insidemovies,tag,Exodus,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11530,insidetv_444311,insidetv,tag,exorcist,"The Exorcist",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40900,insidemovies_444311,insidemovies,tag,Exorcist,"The Exorcist",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4198,popwatch_3282634,popwatch,tag,"Expect Amazing",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8680,newsbriefs_40579103,newsbriefs,tag,"Expendables 2","The Expendables 2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36419,newsbriefs_83985385,newsbriefs,tag,"Expendables 3","The Expendables 3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34002,insidemovies_83985385,insidemovies,tag,"Expendables 3","The Expendables 3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1526,shelflife_2735667,shelflife,tag,"experimental literature","Experimental Literature",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4199,popwatch_37050,popwatch,tag,Explanations,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9691,musicmix_478163,musicmix,tag,"Explosions In The Sky",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1527,shelflife_221676,shelflife,tag,Exposure,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38711,insidetv_1792798,insidetv,tag,Extant,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4200,popwatch_1792798,popwatch,tag,Extant,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9692,musicmix_1164880,musicmix,tag,"Extended Play",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11531,insidetv_122770637,insidetv,tag,"Extreme Cougar Wives",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38712,insidetv_17575636,insidetv,tag,"Extreme Couponing",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4201,popwatch_17575636,popwatch,tag,"Extreme Couponing",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34203,insidetv_159472326,insidetv,tag,"Extreme Guide to Parenting",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4202,popwatch_410665,popwatch,tag,"Extreme Makeover",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4203,popwatch_321953,popwatch,tag,"Extreme Makeover: Home Edition",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4204,popwatch_7837,popwatch,tag,"eye candy",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,thefamilyroom_107872075,thefamilyroom,tag,"Eye See Tohoku",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13330,insidemovies_238872,insidemovies,tag,"Eyes Wide Shut",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13331,insidemovies_71500582,insidemovies,tag,"Ezekiel Moss",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13332,insidemovies_19221812,insidemovies,tag,"Ezra Miller",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34793,popwatch_580026,popwatch,tag,"F. Scott Fitzgerald",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1528,shelflife_580026,shelflife,tag,"F. Scott Fitzgerald",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4205,popwatch_467978,popwatch,tag,Fa-fa-fa-fa-fashion,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40901,insidemovies_467978,insidemovies,tag,Fa-fa-fa-fa-fashion,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9693,musicmix_791873,musicmix,tag,Fabolous,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13333,insidemovies_8963412,insidemovies,tag,"Fabrice du Welz",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38713,insidetv_842021,insidetv,tag,"Face Off",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8103,popstyle_842021,popstyle,tag,"Face Off",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35642,popstyle_81819,popstyle,tag,Facebook,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38714,insidetv_81819,insidetv,tag,Facebook,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36420,newsbriefs_81819,newsbriefs,tag,Facebook,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40902,insidemovies_81819,insidemovies,tag,Facebook,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37321,musicmix_81819,musicmix,tag,Facebook,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34794,popwatch_81819,popwatch,tag,Facebook,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1529,shelflife_81819,shelflife,tag,Facebook,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8104,popstyle_4095643,popstyle,tag,FaceCake,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4206,popwatch_168548389,popwatch,tag,Faceketball,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13334,insidemovies_44746244,insidemovies,tag,"Facing the Wind",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11532,insidetv_119411,insidetv,tag,"Facts of Life","The Facts of Life",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13335,insidemovies_80580971,insidemovies,tag,"Fading Gigolo",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1530,shelflife_332477,shelflife,tag,"Fahrenheit 451",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9694,musicmix_105229328,musicmix,tag,"Fairground Strippers",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
420,thefamilyroom_190692,thefamilyroom,tag,Fairies,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38715,insidetv_46544655,insidetv,tag,"Fairly Legal",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9695,musicmix_46544655,musicmix,tag,"Fairly Legal",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
421,thefamilyroom_1066981,thefamilyroom,tag,"Fairly OddParents","Fairly Odd Parents",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4207,popwatch_29262,popwatch,tag,"Fairy Tales",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13336,insidemovies_175345446,insidemovies,tag,"FAIRYLAND: A Memoir of My Father",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4208,popwatch_274948,popwatch,tag,"Faith Hill",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37322,musicmix_274948,musicmix,tag,"Faith Hill",,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11533,insidetv_884542,insidetv,tag,"Fake Empire",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11534,insidetv_13890880,insidetv,tag,"Fake Off",,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
